,Title,Publication_Info,Cited_by
514,Enhancing the early detection of chronic kidney disease: a robust machine learning model,"MS Arif, A Mukheimer, D Asif - Big Data and Cognitive Computing, 2023 - mdpi.com",Cited by 30
515,Deploying machine learning techniques for human emotion detection,"AI Siam, NF Soliman, AD Algarni… - Computational …, 2022 - Wiley Online Library",Cited by 77
516,Monitoring Cardiovascular Problems in Heart Patients Using Machine Learning,"A Al Ahdal, M Rakhra, RR Rajendran… - Journal of healthcare …, 2023 - Wiley Online Library",Cited by 34
517,Recent advances in thermal imaging and its applications using machine learning: A review,"AN Wilson, KA Gupta, BH Koduru, A Kumar… - IEEE Sensors …, 2023 - ieeexplore.ieee.org",Cited by 48
518,Modern applications of machine learning in quantum sciences,"A Dawid, J Arnold, B Requena, A Gresch… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 66
519,Bug characterization in machine learning-based systems,"MM Morovati, A Nikanjam, F Tambon, F Khomh… - Empirical Software …, 2024 - Springer",Cited by 28
520,Machine-learning-based methods for acoustic emission testing: a review,"G Ciaburro, G Iannace - Applied Sciences, 2022 - mdpi.com",Cited by 55
521,Early prediction of hypothyroidism and multiclass classification using predictive machine learning and deep learning,"K Guleria, S Sharma, S Kumar, S Tiwari - Measurement: Sensors, 2022 - Elsevier",Cited by 130
522,Cloud-based in-situ battery life prediction and classification using machine learning,"Y Zhang, M Zhao - Energy Storage Materials, 2023 - Elsevier",Cited by 64
523,Machine learning and deep learning in phononic crystals and metamaterials–A review,"J Kennedy, CW Lim - Materials Today Communications, 2022 - Elsevier",Cited by 61
524,Machine Learning in Nonlinear Material Physics,"SM Abdulrahman, RR Asaad… - Journal of Soft …, 2024 - penerbit.uthm.edu.my",Cited by 5
525,Robust machine learning algorithms for predicting coastal water quality index,"MG Uddin, S Nash, MTM Diganta, A Rahman… - Journal of …, 2022 - Elsevier",Cited by 123
526,Breast cancer detection based on thermographic images using machine learning and deep learning algorithms,"VR Allugunti - International Journal of Engineering in Computer …, 2022 - researchgate.net",Cited by 206
527,Machine learning and acute stroke imaging,"SA Sheth, L Giancardo, M Colasurdo… - Journal of …, 2023 - jnis.bmj.com",Cited by 37
528,Machine learning for diagnosis of myocardial infarction using cardiac troponin concentrations,"D Doudesis, KK Lee, J Boeddinghaus, A Bularga… - Nature Medicine, 2023 - nature.com",Cited by 57
529,Efficient wind power prediction using machine learning methods: A comparative study,"A Alkesaiberi, F Harrou, Y Sun - Energies, 2022 - mdpi.com",Cited by 91
530,Machine learning for the study of plankton and marine snow from images,"JO Irisson, SD Ayata, DJ Lindsay… - Annual Review of …, 2022 - annualreviews.org",Cited by 84
531,Phishing website detection with semantic features based on machine learning classifiers: a comparative study,"A Almomani, M Alauthman, MT Shatnawi… - … Journal on Semantic …, 2022 - igi-global.com",Cited by 156
532,Machine learning and the city: applications in architecture and urban design,S Carta - 2022 - books.google.com,Cited by 20
533,How to dp-fy ml: A practical guide to machine learning with differential privacy,"N Ponomareva, H Hazimeh, A Kurakin, Z Xu… - Journal of Artificial …, 2023 - jair.org",Cited by 109
534,Crime analysis using computer vision approach with machine learning,"P William, A Shrivastava… - … Communications and 5G …, 2023 - Springer",Cited by 59
535,Machine learning and structural health monitoring overview with emerging technology and high-dimensional data source highlights,"A Malekloo, E Ozer, M AlHamaydeh… - Structural Health …, 2022 - journals.sagepub.com",Cited by 312
536,Predictions of steel price indices through machine learning for the regional northeast Chinese market,"B Jin, X Xu - Neural Computing and Applications, 2024 - Springer",Cited by 5
537,Exploring the power of eXtreme gradient boosting algorithm in machine learning: A review,"ZA Ali, ZH Abduljabbar, HA Taher, AB Sallow… - Academic Journal of …, 2023",Cited by 62
538,Modeling the machine learning multiverse,"SJ Bell, O Kampman, J Dodge… - Advances in Neural …, 2022 - proceedings.neurips.cc",Cited by 20
539,Machine learning-aided operations and communications of unmanned aerial vehicles: A contemporary survey,"H Kurunathan, H Huang, K Li, W Ni… - … Surveys & Tutorials, 2023 - ieeexplore.ieee.org",Cited by 62
540,Machine learning on a robotic platform for the design of polymer–protein hybrids,"MJ Tamasi, RA Patel, CH Borca, S Kosuri… - Advanced …, 2022 - Wiley Online Library",Cited by 92
541,Machine learning and deep learning modeling and simulation for predicting PM2. 5 concentrations,"J Peng, H Han, Y Yi, H Huang, L Xie - Chemosphere, 2022 - Elsevier",Cited by 44
542,Modeling the mechanical properties of recycled aggregate concrete using hybrid machine learning algorithms,"Y Peng, C Unluer - Resources, Conservation and Recycling, 2023 - Elsevier",Cited by 75
543,Use of multi-modal data and machine learning to improve cardiovascular disease care,"S Amal, L Safarnejad, JA Omiye, I Ghanzouri… - Frontiers in …, 2022 - frontiersin.org",Cited by 76
544,A Comparative Study of Machine Learning classifiers to analyze the Precision of Myocardial Infarction prediction,"RH Khan, J Miah, SAA Nipun… - 2023 IEEE 13th Annual …, 2023 - ieeexplore.ieee.org",Cited by 30
545,DiversityScanner: Robotic handling of small invertebrates with machine learning methods,"L Wührl, C Pylatiuk, M Giersch, F Lapp… - Molecular ecology …, 2022 - Wiley Online Library",Cited by 70
546,Performance of Machine Learning and Image Processing in Plant Leaf Disease Detection,"AS Zamani, L Anand, KP Rane, P Prabhu… - Journal of Food …, 2022 - Wiley Online Library",Cited by 125
547,"A state-of-the-art review on machine learning-based multiscale modeling, simulation, homogenization and design of materials","D Bishara, Y Xie, WK Liu, S Li - Archives of computational methods in …, 2023 - Springer",Cited by 77
548,… of immune microenvironment subtypes and signature genes for Alzheimer's disease diagnosis and risk prediction based on explainable machine learning,"Y Lai, P Lin, F Lin, M Chen, C Lin, X Lin, L Wu… - Frontiers in …, 2022 - frontiersin.org",Cited by 30
549,An interpretable machine learning approach for hepatitis b diagnosis,"G Obaido, B Ogbuokiri, TG Swart, N Ayawei… - Applied sciences, 2022 - mdpi.com",Cited by 50
550,Artificial intelligence and machine learning for quantum technologies,"M Krenn, J Landgraf, T Foesel, F Marquardt - Physical Review A, 2023 - APS",Cited by 87
551,A review on recent developments in cancer detection using Machine Learning and Deep Learning models,"S Maurya, S Tiwari, MC Mothukuri, CM Tangeda… - … Signal Processing and …, 2023 - Elsevier",Cited by 50
552,Computational technique based on machine learning and image processing for medical image analysis of breast cancer diagnosis,"VDP Jasti, AS Zamani, K Arumugam… - Security and …, 2022 - Wiley Online Library",Cited by 146
553,Detection of sql injection attack using machine learning techniques: a systematic literature review,"M Alghawazi, D Alghazzawi, S Alarifi - Journal of Cybersecurity and …, 2022 - mdpi.com",Cited by 84
554,Crop yield prediction using machine learning and deep learning techniques,"K Jhajharia, P Mathur, S Jain, S Nijhawan - Procedia Computer Science, 2023 - Elsevier",Cited by 66
555,Graph filters for signal processing and machine learning on graphs,"E Isufi, F Gama, DI Shuman… - IEEE Transactions on …, 2024 - ieeexplore.ieee.org",Cited by 54
556,How machine learning is used to study addiction in digital healthcare: A systematic review,"B Chhetri, LM Goyal, M Mittal - International Journal of Information …, 2023 - Elsevier",Cited by 26
557,Prospects and challenges of using machine learning for academic forecasting,"EM Onyema, KK Almuzaini, FU Onu… - Computational …, 2022 - Wiley Online Library",Cited by 30
558,Prediction of peptide mass spectral libraries with machine learning,"J Cox - Nature Biotechnology, 2023 - nature.com",Cited by 57
559,Rainfall prediction system using machine learning fusion for smart cities,"A Rahman, S Abbas, M Gollapalli, R Ahmed, S Aftab… - Sensors, 2022 - mdpi.com",Cited by 108
560,A machine learning-based intrusion detection for detecting internet of things network attacks,"YK Saheed, AI Abiodun, S Misra, MK Holone… - Alexandria Engineering …, 2022 - Elsevier",Cited by 199
561,MapReduce based intelligent model for intrusion detection using machine learning technique,"M Asif, S Abbas, MA Khan, A Fatima, MA Khan… - Journal of King Saud …, 2022 - Elsevier",Cited by 179
562,Modeling potential evapotranspiration by improved machine learning methods using limited climatic data,"RR Mostafa, O Kisi, RM Adnan, T Sadeghifar, A Kuriqi - Water, 2023 - mdpi.com",Cited by 50
563,Machine learning-assisted approaches in modernized plant breeding programs,"M Yoosefzadeh Najafabadi, M Hesami, M Eskandari - Genes, 2023 - mdpi.com",Cited by 37
564,What machine learning can do for computational solid mechanics,"S Kumar, DM Kochmann - Current trends and open problems in …, 2022 - Springer",Cited by 48
565,Predicting the quality of air with machine learning approaches: Current research priorities and future perspectives,"K Mehmood, Y Bao, W Cheng, MA Khan… - Journal of Cleaner …, 2022 - Elsevier",Cited by 31
566,Applications of machine learning in thermochemical conversion of biomass-A review,"SR Naqvi, Z Ullah, SAA Taqvi, MNA Khan, W Farooq… - Fuel, 2023 - Elsevier",Cited by 111
567,Machine learning techniques to detect a DDoS attack in SDN: A systematic review,"TE Ali, YW Chong, S Manickam - Applied Sciences, 2023 - mdpi.com",Cited by 76
568,Study of E-Commerce and Impact of Machine Learning in E-Commerce,"M Sharma, V Sharma, R Kapoor - Empirical Research for Futuristic E …, 2022 - igi-global.com",Cited by 35
569,Machine learning and the Internet of Things security: Solutions and open challenges,"U Farooq, N Tariq, M Asim, T Baker… - Journal of Parallel and …, 2022 - Elsevier",Cited by 54
570,Machine learning models to accelerate the design of polymeric long-acting injectables,"P Bannigan, Z Bao, RJ Hickman, M Aldeghi… - Nature …, 2023 - nature.com",Cited by 77
571,Performance analysis of the water quality index model for predicting water state using machine learning techniques,"MG Uddin, S Nash, A Rahman, AI Olbert - Process Safety and …, 2023 - Elsevier",Cited by 122
572,Data Versioning and Its Impact on Machine Learning Models,"MR Pulicharla - Journal of Science & Technology, 2024 - thesciencebrigade.com",Cited by 39
573,Machine learning in tissue engineering,"JL Guo, M Januszyk, MT Longaker - Tissue Engineering Part A, 2023 - liebertpub.com",Cited by 26
574,Solar photovoltaic power prediction using different machine learning methods,"B Zazoum - Energy Reports, 2022 - Elsevier",Cited by 119
575,"Past, present and perspective methodology for groundwater modeling-based machine learning approaches","AIA Osman, AN Ahmed, YF Huang, P Kumar… - … Methods in Engineering, 2022 - Springer",Cited by 46
576,Counting carbon: A survey of factors influencing the emissions of machine learning,"AS Luccioni, A Hernandez-Garcia - arXiv preprint arXiv:2302.08476, 2023 - arxiv.org",Cited by 44
577,Detecting phishing domains using machine learning,"S Alnemari, M Alshammari - Applied Sciences, 2023 - mdpi.com",Cited by 43
578,A machine learning method for the evaluation of ship grounding risk in real operational conditions,"M Zhang, P Kujala, S Hirdaris - Reliability Engineering & System Safety, 2022 - Elsevier",Cited by 78
579,Towards leveraging the role of machine learning and artificial intelligence in precision agriculture and smart farming,"TA Shaikh, T Rasool, FR Lone - Computers and Electronics in Agriculture, 2022 - Elsevier",Cited by 402
580,A machine learning approach to volatility forecasting,"K Christensen, M Siggaard… - Journal of Financial …, 2023 - academic.oup.com",Cited by 104
581,Missing data is poorly handled and reported in prediction model studies using machine learning: a literature review,"SWJ Nijman, AM Leeuwenberg, I Beekers… - Journal of clinical …, 2022 - Elsevier",Cited by 122
582,A database of ultrastable MOFs reassembled from stable fragments with machine learning models,"A Nandy, S Yue, C Oh, C Duan, GG Terrones… - Matter, 2023 - cell.com",Cited by 29
583,Clinical Data Analysis for Prediction of Cardiovascular Disease Using Machine Learning Techniques,"RG Nadakinamani, A Reyana, S Kautish… - Computational …, 2022 - Wiley Online Library",Cited by 88
584,Flexible sensors and machine learning for heart monitoring,"SH Kwon, L Dong - Nano Energy, 2022 - Elsevier",Cited by 39
585,Code generation using machine learning: A systematic review,"E Dehaerne, B Dey, S Halder, S De Gendt… - Ieee …, 2022 - ieeexplore.ieee.org",Cited by 52
586,Machine learning models to predict the tunnel wall convergence,"J Zhou, Y Chen, C Li, Y Qiu, S Huang, M Tao - Transportation Geotechnics, 2023 - Elsevier",Cited by 26
587,Reviewing multimodal machine learning and its use in cardiovascular diseases detection,"M Moshawrab, M Adda, A Bouzouane, H Ibrahim… - Electronics, 2023 - mdpi.com",Cited by 22
588,"Reliance on artificial intelligence, machine learning and deep learning in the era of industry 4.0","TVN Rao, A Gaddam, M Kurni… - Smart healthcare system …, 2022 - Wiley Online Library",Cited by 44
589,Taxonomy of machine learning safety: A survey and primer,"S Mohseni, H Wang, C Xiao, Z Yu, Z Wang… - ACM Computing …, 2022 - dl.acm.org",Cited by 38
590,Network Security in Cyberspace Using Machine Learning Techniques,"CS Ranganathan, R Raman, KK Sutaria… - 2023 7th …, 2023 - ieeexplore.ieee.org",Cited by 32
591,A study of network intrusion detection systems using artificial intelligence/machine learning,"P Vanin, T Newe, LL Dhirani, E O'Connell, D O'Shea… - Applied Sciences, 2022 - mdpi.com",Cited by 54
592,Air Quality Index prediction using machine learning for Ahmedabad city,"NN Maltare, S Vahora - Digital Chemical Engineering, 2023 - Elsevier",Cited by 46
593,Temporal graph benchmark for machine learning on temporal graphs,"S Huang, F Poursafaei, J Danovitch… - Advances in …, 2024 - proceedings.neurips.cc",Cited by 58
594,"Big data, machine learning, and digital twin assisted additive manufacturing: A review","L Jin, X Zhai, K Wang, K Zhang, D Wu, A Nazir, J Jiang… - Materials & Design, 2024 - Elsevier",Cited by 10
595,Literature review of breast cancer detection using machine learning algorithms,"BS Abunasser, MRJ AL-Hiealy, IS Zaqout… - AIP Conference …, 2023 - pubs.aip.org",Cited by 30
596,Machine learning and phone data can improve targeting of humanitarian aid,"E Aiken, S Bellue, D Karlan, C Udry, JE Blumenstock - Nature, 2022 - nature.com",Cited by 150
597,Perspective: Predicting and optimizing thermal transport properties with machine learning methods,"H Wei, H Bao, X Ruan - Energy and AI, 2022 - Elsevier",Cited by 33
598,Integrating physics-based modeling with machine learning for lithium-ion batteries,"H Tu, S Moura, Y Wang, H Fang - Applied energy, 2023 - Elsevier",Cited by 70
599,Artificial intelligence: Machine learning approach for screening large database and drug discovery,"PP Parvatikar, S Patil, K Khaparkhuntikar, S Patil… - Antiviral Research, 2023 - Elsevier",Cited by 26
600,Optimizing Data Warehousing Performance through Machine Learning Algorithms in the Cloud,"S Ahmadi - International Journal of Science and Research (IJSR), 2023 - papers.ssrn.com",Cited by 43
601,A systematic literature review on modern methods of construction in building: An integrated approach using machine learning,"AJ Sánchez-Garrido, IJ Navarro, J García… - Journal of Building …, 2023 - Elsevier",Cited by 25
602,Reviewing federated machine learning and its use in diseases prediction,"M Moshawrab, M Adda, A Bouzouane, H Ibrahim… - Sensors, 2023 - mdpi.com",Cited by 42
603,Diagnosis of breast cancer using machine learning techniques-a survey,"RK Yadav, P Singh, P Kashtriya - Procedia Computer Science, 2023 - Elsevier",Cited by 32
604,"Past, present, and future of sustainable finance: insights from big data analytics through machine learning of scholarly research","S Kumar, D Sharma, S Rao, WM Lim… - Annals of Operations …, 2022 - Springer",Cited by 300
605,Machine learning for educational metaverse: How far are we?,"U Bilotti, D Di Dario, F Palomba… - 2023 IEEE …, 2023 - ieeexplore.ieee.org",Cited by 18
606,DDoS attacks detection using machine learning and deep learning techniques: Analysis and comparison,"MA Al-Shareeda, S Manickam… - Bulletin of Electrical …, 2023 - mail.beei.org",Cited by 59
607,"Artificial intelligence, machine learning and smart technologies for nondestructive evaluation","H Taheri, M Gonzalez Bocanegra, M Taheri - Sensors, 2022 - mdpi.com",Cited by 45
608,Prediction of crop yield using machine learning,"MA Shaik, G Manoharan, B Prashanth… - AIP Conference …, 2022 - pubs.aip.org",Cited by 41
609,A literature review of machine learning algorithms for crash injury severity prediction,"K Santos, JP Dias, C Amado - Journal of safety research, 2022 - Elsevier",Cited by 109
610,Effectiveness of machine learning technology in detecting patterns of certain diseases within patient electronic healthcare records,"DK Sharma, DS Chakravarthi, RSK Boddu… - Proceedings of Second …, 2022 - Springer",Cited by 41
611,Application of machine learning in spatial proteomics,"M Mou, Z Pan, M Lu, H Sun, Y Wang… - Journal of Chemical …, 2022 - ACS Publications",Cited by 27
612,Artificial intelligence and machine learning in precision and genomic medicine,"S Quazi - Medical Oncology, 2022 - Springer",Cited by 189
613,Machine learning for the prediction of acute kidney injury in patients with sepsis,"S Yue, S Li, X Huang, J Liu, X Hou, Y Zhao… - Journal of translational …, 2022 - Springer",Cited by 89
614,Machine learning-based time series models for effective CO2 emission prediction in India,"S Kumari, SK Singh - Environmental Science and Pollution Research, 2023 - Springer",Cited by 88
615,Machine learning in antibacterial drug design,"M Jukič, U Bren - Frontiers in Pharmacology, 2022 - frontiersin.org",Cited by 31
616,Detection of Deauthentication Threats in Wi-Fi Channels Using Machine Learning Strategies,"R Latha, RM Bommi - … Conference on Data Science, Agents & …, 2022 - ieeexplore.ieee.org",Cited by 54
617,Efficient medical diagnosis of human heart diseases using machine learning techniques with and without GridSearchCV,"GN Ahmad, H Fatima, S Ullah, AS Saidi - IEEE Access, 2022 - ieeexplore.ieee.org",Cited by 134
618,Algorithmic bias in machine learning-based marketing models,"S Akter, YK Dwivedi, S Sajib, K Biswas… - Journal of Business …, 2022 - Elsevier",Cited by 107
619,An Overview of Machine Learning for Asset Management.,"Y Lee, JRJ Thompson, JH Kim… - Journal of Portfolio …, 2023 - search.ebscohost.com",Cited by 13
620,Synthetic data as an enabler for machine learning applications in medicine,"JF Rajotte, R Bergen, DL Buckeridge, K El Emam, R Ng… - Iscience, 2022 - cell.com",Cited by 42
621,Machine learning in safety and health research: a scientometric analysis,"KH Abdullah, D Sofyan - International Journal of Information Science and …, 2023 - ijism.isc.ac",Cited by 44
622,"Machine learning approaches for smart city applications: Emergence, challenges and opportunities","S Mehta, B Bhushan, R Kumar - … in internet of things and machine learning …, 2022 - Springer",Cited by 35
623,Accelerating 3D printing of pharmaceutical products using machine learning,"JJ Ong, BM Castro, S Gaisford, P Cabalar… - International Journal of …, 2022 - Elsevier",Cited by 60
624,Groundwater level prediction using machine learning models: A comprehensive review,"H Tao, MM Hameed, HA Marhoon… - Neurocomputing, 2022 - Elsevier",Cited by 211
625,SliceTeller: A data slice-driven approach for machine learning model validation,"X Zhang, JP Ono, H Song, L Gou… - IEEE Transactions on …, 2022 - ieeexplore.ieee.org",Cited by 34
626,Explanation of machine learning models using shapley additive explanation and application for real data in hospital,"Y Nohara, K Matsumoto, H Soejima… - Computer Methods and …, 2022 - Elsevier",Cited by 230
627,Toward practices for human-centered machine learning,"S Chancellor - Communications of the ACM, 2023 - dl.acm.org",Cited by 38
628,A survey on fairness for machine learning on graphs,"C Laclau, C Largeron, M Choudhary - arXiv preprint arXiv:2205.05396, 2022 - arxiv.org",Cited by 31
629,Enhanced credit card fraud detection model using machine learning,"NS Alfaiz, SM Fati - Electronics, 2022 - mdpi.com",Cited by 112
630,Crop prediction using machine learning,"MS Rao, A Singh, NVS Reddy… - Journal of Physics …, 2022 - iopscience.iop.org",Cited by 45
631,An artificial intelligence model for heart disease detection using machine learning algorithms,"V Chang, VR Bhavani, AQ Xu, MA Hossain - Healthcare Analytics, 2022 - Elsevier",Cited by 179
632,Detection Collision Flows in SDN Based 5G Using Machine Learning Algorithms.,"A Aqdus, R Amin, S Ramzan… - … Materials & Continua, 2023 - cdn.techscience.cn",Cited by 70
633,Energy demand forecasting using fused machine learning approaches,"TM Ghazal - Intelligent Automation & Soft …, 2022 - research.skylineuniversity.ac.ae",Cited by 81
634,"Machine learning and deep learning based computational approaches in automatic microorganisms image recognition: methodologies, challenges, and …","P Rani, S Kotwal, J Manhas, V Sharma… - … Methods in Engineering, 2022 - Springer",Cited by 86
635,Diabetes prediction using machine learning and explainable AI techniques,"I Tasin, TU Nabil, S Islam… - Healthcare Technology …, 2023 - Wiley Online Library",Cited by 110
636,Machine learning in sustainable ship design and operation: A review,"L Huang, B Pena, Y Liu, E Anderlini - Ocean Engineering, 2022 - Elsevier",Cited by 32
637,Efficient removal of greenhouse gases: machine learning-assisted exploration of metal–organic framework space,"R Xin, C Wang, Y Zhang, R Peng, R Li, J Wang… - ACS …, 2024 - ACS Publications",Cited by 7
638,Crops yield prediction based on machine learning models: Case of West African countries,"LS Cedric, WYH Adoni, R Aworka, JT Zoueu… - Smart Agricultural …, 2022 - Elsevier",Cited by 115
639,Machine learning aided nanoindentation: A review of the current state and future perspectives,"ES Puchi-Cabrera, E Rossi, G Sansonetti… - Current Opinion in Solid …, 2023 - Elsevier",Cited by 22
640,DEM resolution effects on machine learning performance for flood probability mapping,"M Avand, A Kuriqi, M Khazaei… - Journal of Hydro …, 2022 - Elsevier",Cited by 98
641,Machine learning approach for autonomous detection and classification of COVID-19 virus,"OR Shahin, HH Alshammari, AI Taloba… - Computers and …, 2022 - Elsevier",Cited by 51
642,Machine learning for enhancing transportation security: A comprehensive analysis of electric and flying vehicle systems,"H Alqahtani, G Kumar - Engineering Applications of Artificial Intelligence, 2024 - Elsevier",Cited by 45
643,"Machine learning methods, databases and tools for drug combination prediction","L Wu, Y Wen, D Leng, Q Zhang, C Dai… - Briefings in …, 2022 - academic.oup.com",Cited by 71
644,A survey: Distributed Machine Learning for 5G and beyond,"O Nassef, W Sun, H Purmehdi, M Tatipamula… - Computer Networks, 2022 - Elsevier",Cited by 58
645,Deep learning and machine learning with grid search to predict later occurrence of breast Cancer metastasis using clinical data,"X Jiang, C Xu - Journal of clinical medicine, 2022 - mdpi.com",Cited by 62
646,Methodological conduct of prognostic prediction models developed using machine learning in oncology: a systematic review,"P Dhiman, J Ma, CL Andaur Navarro, B Speich… - BMC medical research …, 2022 - Springer",Cited by 61
647,Remaining Useful Life prediction and challenges: A literature review on the use of Machine Learning Methods,"C Ferreira, G Gonçalves - Journal of Manufacturing Systems, 2022 - Elsevier",Cited by 141
648,Machine-learning interpretability techniques for seismic performance assessment of infrastructure systems,"S Mangalathu, K Karthikeyan, DC Feng, JS Jeon - Engineering Structures, 2022 - Elsevier",Cited by 88
649,A comprehensive empirical study of bias mitigation methods for machine learning classifiers,"Z Chen, JM Zhang, F Sarro, M Harman - ACM Transactions on Software …, 2023 - dl.acm.org",Cited by 61
650,Artificial intelligence and machine learning in finance: A bibliometric review,"S Ahmed, MM Alshater, A El Ammari… - Research in International …, 2022 - Elsevier",Cited by 200
651,A review of hydrodynamic and machine learning approaches for flood inundation modeling,"F Karim, MA Armin, D Ahmedt-Aristizabal… - Water, 2023 - mdpi.com",Cited by 42
652,Ground truth tracings (GTT): On the epistemic limits of machine learning,"EB Kang - Big data & society, 2023 - journals.sagepub.com",Cited by 22
653,When confidence meets accuracy: Exploring the effects of multiple performance indicators on trust in machine learning models,"A Rechkemmer, M Yin - Proceedings of the 2022 chi conference on …, 2022 - dl.acm.org",Cited by 80
654,Multibody dynamics and control using machine learning,"A Hashemi, G Orzechowski, A Mikkola… - Multibody System …, 2023 - Springer",Cited by 25
655,Prediction of critical filling of a storage area network by machine learning methods,"IS Masich, VS Tynchenko, VA Nelyub, VV Bukhtoyarov… - Electronics, 2022 - mdpi.com",Cited by 45
656,Interpretable models for extrapolation in scientific machine learning,"ES Muckley, JE Saal, B Meredig, CS Roper… - Digital …, 2023 - pubs.rsc.org",Cited by 26
657,The disagreement problem in explainable machine learning: A practitioner's perspective,"S Krishna, T Han, A Gu, J Pombra, S Jabbari… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 199
658,SurvSHAP (t): time-dependent explanations of machine learning survival models,"M Krzyziński, M Spytek, H Baniecki, P Biecek - Knowledge-Based Systems, 2023 - Elsevier",Cited by 60
659,Machine learning for forecasting a photovoltaic (PV) generation system,"C Scott, M Ahsan, A Albarbar - Energy, 2023 - Elsevier",Cited by 47
660,A machine learning model to predict the pyrolytic kinetics of different types of feedstocks,"S Wang, Z Shi, Y Jin, IN Zaini, Y Li, C Tang… - Energy Conversion and …, 2022 - Elsevier",Cited by 35
661,A predictive analytics approach for stroke prediction using machine learning and neural networks,"S Dev, H Wang, CS Nwosu, N Jain, B Veeravalli… - Healthcare …, 2022 - Elsevier",Cited by 132
662,Disclosure sentiment: Machine learning vs. dictionary methods,"R Frankel, J Jennings, J Lee - Management Science, 2022 - pubsonline.informs.org",Cited by 102
663,Novel machine learning applications on fly ash based concrete: an overview,"G Khambra, P Shukla - Materials Today: Proceedings, 2023 - Elsevier",Cited by 106
664,Disease analysis using machine learning approaches in healthcare system,"HK Bhuyan, V Ravi, B Brahma, NK Kamila - Health and Technology, 2022 - Springer",Cited by 24
665,Change detection in remote sensing image data comparing algebraic and machine learning methods,"A Goswami, D Sharma, H Mathuku, SMP Gangadharan… - Electronics, 2022 - mdpi.com",Cited by 161
666,Machine learning for smart agriculture and precision farming: towards making the fields talk,"TA Shaikh, WA Mir, T Rasool, S Sofi - Archives of Computational Methods …, 2022 - Springer",Cited by 81
667,Adversarial machine learning for network intrusion detection systems: A comprehensive survey,"K He, DD Kim, MR Asghar - IEEE Communications Surveys & …, 2023 - ieeexplore.ieee.org",Cited by 137
668,"Mapping of machine learning approaches for description, prediction, and causal inference in the social and health sciences","AK Leist, M Klee, JH Kim, DH Rehkopf, SPA Bordas… - Science …, 2022 - science.org",Cited by 51
669,Robustness of local predictions in atomistic machine learning models,"S Chong, F Grasselli, C Ben Mahmoud… - Journal of Chemical …, 2023 - ACS Publications",Cited by 17
670,The role of artificial intelligence and machine learning amid the COVID-19 pandemic: What lessons are we learning on 4IR and the sustainable development goals,"D Mhlanga - International Journal of Environmental Research and …, 2022 - mdpi.com",Cited by 129
671,Machine learning and deep learning techniques for breast cancer diagnosis and classification: a comprehensive review of medical imaging studies,"M Radak, HY Lafta, H Fallahi - Journal of Cancer Research and Clinical …, 2023 - Springer",Cited by 39
672,First machine learning gravitational-wave search mock data challenge,"MB Schäfer, O Zelenka, AH Nitz, H Wang, S Wu… - Physical Review D, 2023 - APS",Cited by 43
673,Navigating the future: integrating AI and machine learning in hr practices for a digital workforce,"CG Okatta, FA Ajayi, O Olawale - Computer Science & IT Research …, 2024 - fepbl.com",Cited by 42
674,Predicting air quality index using ensemble machine learning,"M Hardini, RA Sunarjo, M Asfi, MHR Chakim… - ADI Journal on Recent …, 2023 - adi-journal.org",Cited by 24
675,A machine learning application in wine quality prediction,"P Bhardwaj, P Tiwari, K Olejar Jr, W Parr… - Machine Learning with …, 2022 - Elsevier",Cited by 57
676,Divination of air quality assessment using ensembling machine learning approach,"P William, DN Paithankar, PM Yawalkar… - 2023 International …, 2023 - ieeexplore.ieee.org",Cited by 41
677,Review of machine learning approach on credit card fraud detection,"R Bin Sulaiman, V Schetinin, P Sant - Human-Centric Intelligent Systems, 2022 - Springer",Cited by 117
678,Complex features extraction with deep learning model for the detection of COVID19 from CT scan images using ensemble based machine learning approach,"MR Islam, M Nahiduzzaman - Expert Systems with Applications, 2022 - Elsevier",Cited by 98
679,A survey and taxonomy of loss functions in machine learning,"L Ciampiconi, A Elwood, M Leonardi… - arXiv preprint arXiv …, 2023 - arxiv.org",Cited by 33
680,"Revolutionizing municipal solid waste management (MSWM) with machine learning as a clean resource: Opportunities, challenges and solutions","MT Munir, B Li, M Naqvi - Fuel, 2023 - Elsevier",Cited by 24
681,Application of machine learning for cytometry data,"Z Hu, S Bhattacharya, AJ Butte - Frontiers in immunology, 2022 - frontiersin.org",Cited by 43
682,Predicting measures of soil health using the microbiome and supervised machine learning,"RC Wilhelm, HM van Es, DH Buckley - Soil Biology and Biochemistry, 2022 - Elsevier",Cited by 98
683,Time-series forecasting of seasonal items sales using machine learning–A comparative analysis,"Y Ensafi, SH Amin, G Zhang, B Shah - International Journal of Information …, 2022 - Elsevier",Cited by 204
684,Predicting sentiment and rating of tourist reviews using machine learning,"K Puh, M Bagić Babac - Journal of hospitality and tourism insights, 2023 - emerald.com",Cited by 63
685,Machine learning for enhanced regional seismic risk assessments,"P Kourehpaz, C Molina Hutt - Journal of Structural Engineering, 2022 - ascelibrary.org",Cited by 37
686,Security enhancement by identifying attacks using machine learning for 5G network,"H Keserwani, H Rastogi, AZ Kurniullah… - International Journal …, 2022 - researchgate.net",Cited by 46
