,Title,Authors,Year,Venue,Publisher,Citation_Count,Avg_Citations_Per_Year
380,Machine learning-based methods in structural reliability analysis: A review,"SS Afshari, F Enayatollahi, X Xu, X Liang",2022,Reliability Engineering & System …,Elsevier,221,73.67
381,Machine learning algorithms to forecast air quality: a survey,"M Méndez, MG Merayo, M Núñez",2023,Artificial Intelligence Review,Springer,121,60.5
382,Smart farming using machine learning and deep learning techniques,"SKS Durai, MD Shamili",2022,Decision Analytics Journal,Elsevier,122,40.67
383,Machine learning algorithms for monitoring pavement performance,"S Cano-Ortiz, P Pascual-Muñoz…",2022,Automation in …,Elsevier,62,20.67
384,The state of art on the prediction of efficiency and modeling of the processes of pollutants removal based on machine learning,"N Taoufik, W Boumya, M Achak, H Chennouk…",2022,Science of the Total …,Elsevier,90,30.0
385,Towards the next generation of machine learning models in additive manufacturing: A review of process dependent material evolution,"M Parsazadeh, S Sharma, N Dahotre",2023,Progress in Materials Science,Elsevier,48,24.0
386,Predicting preeminent Machine Learning Approach on Stars,"S Manna, V Jalodia, K Kumar, V Tripathi…",2022,2022 2nd …,ieeexplore.ieee.org,39,13.0
387,A comprehensive review of machine learning algorithms and their application in geriatric medicine: present and future,"RJ Woodman, AA Mangoni",2023,Aging Clinical and Experimental Research,Springer,38,19.0
388,Opening the black box: the promise and limitations of explainable machine learning in cardiology,"J Petch, S Di, W Nelson",2022,Canadian Journal of Cardiology,Elsevier,353,117.67
389,Machine learning in cybersecurity: a comprehensive survey,"D Dasgupta, Z Akhtar, S Sen",2022,The Journal of Defense …,journals.sagepub.com,215,71.67
390,Bias in machine learning models can be significantly mitigated by careful training: Evidence from neuroimaging studies,"R Wang, P Chaudhari…",2023,Proceedings of the …,National Acad Sciences,64,32.0
391,Machine learning and AI technologies for smart wearables,"KP Seng, LM Ang, E Peter, A Mmonyi",2023,Electronics,mdpi.com,27,13.5
392,"Transforming clinical virology with AI, machine learning and deep learning: a comprehensive review and outlook","A Padhi, A Agarwal, SK Saxena, CDS Katoch",2023,VirusDisease,Springer,22,11.0
393,Machine learning predicts and optimizes hydrothermal liquefaction of biomass,"A Shafizadeh, H Shahbeig, MH Nadian, H Mobli…",2022,Chemical Engineering …,Elsevier,103,34.33
394,Precision irrigation management using machine learning and digital farming solutions,"EA Abioye, O Hensel, TJ Esau, O Elijah, MSZ Abidin…",2022,AgriEngineering,mdpi.com,161,53.67
395,A survey of the opportunities and challenges of supervised machine learning in maritime risk analysis,"A Rawson, M Brito",2023,Transport Reviews,Taylor & Francis,70,35.0
396,An optimized framework for breast cancer classification using machine learning,"E Michael, H Ma, H Li, S Qi",2022,BioMed Research International,Wiley Online Library,60,20.0
397,A method for improving prediction of human heart disease using machine learning algorithms,"A Saboor, M Usman, S Ali, A Samad…",2022,Mobile Information …,Wiley Online Library,105,35.0
398,"Advances in computational intelligence of polymer composite materials: machine learning assisted modeling, analysis and design","A Sharma, T Mukhopadhyay, SM Rangappa…",2022,… Methods in Engineering,Springer,141,47.0
399,"The classification method study of crops remote sensing with deep learning, machine learning, and Google Earth engine","J Yao, J Wu, C Xiao, Z Zhang, J Li",2022,Remote Sensing,mdpi.com,49,16.33
400,Molecular representations for machine learning applications in chemistry,"S Raghunathan, UD Priyakumar",2022,International Journal of …,Wiley Online Library,54,18.0
401,Machine learning in the analysis of biomolecular simulations,"S Kaptan, I Vattulainen",2022,Advances in physics: X,Taylor & Francis,23,7.67
402,The applications of machine learning techniques in medical data processing based on distributed computing and the Internet of Things,"S Aminizadeh, A Heidari, S Toumaj, M Darbandi…",2023,Computer methods and …,Elsevier,120,60.0
403,Technology readiness levels for machine learning systems,"A Lavin, CM Gilligan-Lee, A Visnjic, S Ganju…",2022,Nature …,nature.com,111,37.0
404,Advances in application of machine learning to life cycle assessment: a literature review,"A Ghoroghi, Y Rezgui, I Petri, T Beach",2022,The International Journal of Life …,Springer,74,24.67
405,Secure preschool education using machine learning and metaverse technologies,Q Zhang,2023,Applied Artificial Intelligence,Taylor & Francis,29,14.5
406,Evaluating pointwise reliability of machine learning prediction,"G Nicora, M Rios, A Abu-Hanna, R Bellazzi",2022,Journal of Biomedical …,Elsevier,64,21.33
407,Machine learning in bioprocess development: from promise to practice,"LM Helleckes, J Hemmerich, W Wiechert…",2023,Trends in …,cell.com,52,26.0
408,Mathematical and machine learning models for groundwater level changes: a systematic review and bibliographic analysis,"S Afrifa, T Zhang, P Appiahene, V Varadarajan",2022,Future Internet,mdpi.com,46,15.33
409,Translating promise into practice: a review of machine learning in suicide research and prevention,"OJ Kirtley, K van Mens, M Hoogendoorn…",2022,The Lancet …,thelancet.com,45,15.0
410,Machine learning in sports science: challenges and opportunities,"C Richter, M O'Reilly, E Delahunt",2024,Sports Biomechanics,Taylor & Francis,52,52.0
411,Trends in vision-based machine learning techniques for plant disease identification: A systematic review,"PS Thakur, P Khanna, T Sheorey, A Ojha",2022,Expert Systems with …,Elsevier,120,40.0
412,"Application of deep learning and machine learning models to improve healthcare in sub-Saharan Africa: Emerging opportunities, trends and implications","E Mbunge, J Batani",2023,Telematics and Informatics Reports,Elsevier,27,13.5
413,Machine learning for predicting battery capacity for electric vehicles,"J Zhao, H Ling, J Liu, J Wang, AF Burke, Y Lian",2023,ETransportation,Elsevier,77,38.5
414,A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,"D Das, SK Biswas, S Bandyopadhyay",2022,Multimedia Tools and Applications,Springer,91,30.33
415,Lung cancer risk prediction with machine learning models,"E Dritsas, M Trigka",2022,Big Data and Cognitive Computing,mdpi.com,86,28.67
416,Machine Learning for Modeling and Control of Industrial Clarifier Process.,"M Rajalakshmi, V Saravanan…",2022,… Automation & Soft …,researchgate.net,95,31.67
417,Enhancing the prediction of student performance based on the machine learning XGBoost algorithm,"A Asselman, M Khaldi, S Aammou",2023,Interactive Learning …,Taylor & Francis,184,92.0
418,"A comprehensive review on machine learning in healthcare industry: classification, restrictions, opportunities and challenges","Q An, S Rahman, J Zhou, JJ Kang",2023,Sensors,mdpi.com,88,44.0
419,Machine learning and deep learning approach for medical image analysis: diagnosis to detection,"M Rana, M Bhushan",2023,Multimedia Tools and Applications,Springer,135,67.5
420,"Internet of things (iot) security intelligence: a comprehensive overview, machine learning solutions and research directions","IH Sarker, AI Khan, YB Abushark, F Alsolami",2023,Mobile Networks and …,Springer,276,138.0
421,Application of machine learning algorithms in municipal solid waste management: A mini review,"W Xia, Y Jiang, X Chen, R Zhao",2022,Waste Management & …,journals.sagepub.com,139,46.33
422,Graph data augmentation for graph machine learning: A survey,"T Zhao, W Jin, Y Liu, Y Wang, G Liu…",2022,arXiv preprint arXiv …,arxiv.org,102,34.0
423,Review on interpretable machine learning in smart grid,"C Xu, Z Liao, C Li, X Zhou, R Xie",2022,Energies,mdpi.com,49,16.33
424,Machine learning hidden symmetries,"Z Liu, M Tegmark",2022,Physical Review Letters,APS,58,19.33
425,Applications of machine learning to BIM: A systematic literature review,"A Zabin, VA González, Y Zou, R Amor",2022,Advanced Engineering Informatics,Elsevier,87,29.0
426,Unlocking edge intelligence through tiny machine learning (TinyML),"SAR Zaidi, AM Hayajneh, M Hafeez, QZ Ahmed",2022,IEEE Access,ieeexplore.ieee.org,52,17.33
427,Improved machine learning algorithm for predicting ground state properties,"L Lewis, HY Huang, VT Tran, S Lehner, R Kueng…",2024,nature …,nature.com,32,32.0
428,A review and comparative study of cancer detection using machine learning: SBERT and SimCSE application,"M Mokoatle, V Marivate, D Mapiye, R Bornman…",2023,BMC …,Springer,25,12.5
429,Combining machine learning and semantic web: A systematic mapping study,"A Breit, L Waltersdorfer, FJ Ekaputra, M Sabou…",2023,ACM Computing …,dl.acm.org,53,26.5
430,A machine learning model for skin disease classification using convolution neural network,VR Allugunti,2022,"… Journal of Computing, Programming and Database …",researchgate.net,221,73.67
431,Machine learning research trends in Africa: a 30 years overview with bibliometric analysis review,"AE Ezugwu, ON Oyelade, AM Ikotun…",2023,… Methods in Engineering,Springer,20,10.0
432,Machine learning-based marker for coronary artery disease: derivation and validation in two longitudinal cohorts,"IS Forrest, BO Petrazzini, Á Duffy, JK Park…",2023,The Lancet,thelancet.com,80,40.0
433,Edge computing with artificial intelligence: A machine learning perspective,"H Hua, Y Li, T Wang, N Dong, W Li, J Cao",2023,ACM Computing Surveys,dl.acm.org,213,106.5
434,Forecasting of solar radiation using different machine learning approaches,"V Demir, H Citakoglu",2023,Neural Computing and Applications,Springer,74,37.0
435,Prediction of loan behaviour with machine learning models for secure banking,"M Anand, A Velu, P Whig",2022,Journal of Computer Science and …,icsejournal.com,102,34.0
436,Integrating scientific knowledge with machine learning for engineering and environmental systems,"J Willard, X Jia, S Xu, M Steinbach, V Kumar",2022,ACM Computing Surveys,dl.acm.org,398,132.67
437,Membership inference attacks on machine learning: A survey,"H Hu, Z Salcic, L Sun, G Dobbie, PS Yu…",2022,ACM Computing Surveys …,dl.acm.org,440,146.67
438,Effective heart disease prediction using machine learning techniques,"CM Bhatt, P Patel, T Ghetia, PL Mazzeo",2023,Algorithms,mdpi.com,177,88.5
439,Machine learning-based automatic control of tunneling posture of shield machine,"H Huang, J Chang, D Zhang, J Zhang, H Wu…",2022,Journal of Rock …,Elsevier,55,18.33
440,Review of machine learning techniques for EEG based brain computer interface,"S Aggarwal, N Chugh",2022,Archives of Computational Methods in …,Springer,180,60.0
441,Flood forecasting with machine learning models in an operational framework,"S Nevo, E Morin, A Gerzi Rosenthal…",2022,Hydrology and Earth …,hess.copernicus.org,110,36.67
442,Predicting individual learning performance using machine‐learning hybridized with the teaching‐learning‐based optimization,"M Arashpour, EM Golafshani…",2023,Computer …,Wiley Online Library,44,22.0
443,Hybrid model for detection of cervical cancer using causal analysis and machine learning techniques,"UK Lilhore, M Poongodi, A Kaur…",2022,… Methods in Medicine,Wiley Online Library,157,52.33
444,Reimagining the machine learning life cycle to improve educational outcomes of students,"LT Liu, S Wang, T Britton…",2023,Proceedings of the …,National Acad Sciences,23,11.5
445,Precision agriculture using IoT data analytics and machine learning,"R Akhter, SA Sofi",2022,Journal of King Saud University-Computer and …,Elsevier,355,118.33
446,Applications of machine learning in perovskite materials,"Z Wang, M Yang, X Xie, C Yu, Q Jiang…",2022,… Composites and Hybrid …,Springer,57,19.0
447,"Data Valuation in Machine Learning:"" Ingredients"", Strategies, and Open Challenges.","RHL Sim, X Xu, BKH Low",2022,IJCAI,comp.nus.edu.sg,45,15.0
448,Internet of things and machine learning-integrated smart robotics,"BU Maheswari, SS Imambi, D Hasan…",2023,… on Robotics and …,igi-global.com,50,25.0
449,DDoS detection using machine learning techniques,"R Amrish, K Bavapriyan, V Gopinaath…",2022,Journal of IoT in …,irojournals.com,42,14.0
450,Applications of artificial intelligence and machine learning algorithms to crystallization,"C Xiouras, F Cameli, GL Quillo…",2022,Chemical …,ACS Publications,59,19.67
451,Machine learning in crime prediction,"K Jenga, C Catal, G Kar",2023,Journal of Ambient Intelligence and Humanized …,Springer,39,19.5
452,AI-powered ensemble machine learning to optimize cost strategies in logistics business,"C Yaiprasert, AN Hidayanto",2024,International Journal of Information …,Elsevier,33,33.0
453,Causal machine learning for healthcare and precision medicine,"P Sanchez, JP Voisey, T Xia…",2022,Royal Society …,royalsocietypublishing.org,88,29.33
454,The significance of machine learning in clinical disease diagnosis: A review,"SM Rahman, S Ibtisum, E Bazgir, T Barai",2023,arXiv preprint arXiv:2310.16978,arxiv.org,31,15.5
455,Landslide susceptibility mapping using machine learning: A literature survey,"M Ado, K Amitab, AK Maji, E Jasińska, R Gono…",2022,Remote Sensing,mdpi.com,91,30.33
456,Prediction of strength and analysis in self-compacting concrete using machine learning based regression techniques,"SA Rajakarunakaran, AR Lourdu, S Muthusamy…",2022,… in Engineering Software,Elsevier,76,25.33
457,Skin cancer detection using ensemble of machine learning and deep learning techniques,"JV Tembhurne, N Hebbar, HY Patil, T Diwan",2023,Multimedia Tools and …,Springer,57,28.5
458,IoT Security Based on Machine Learning,"RK Vanakamamidi, L Ramalingam…",2023,… For Smart Nation …,ieeexplore.ieee.org,32,16.0
459,Integrating Machine Learning and AI for Improved Hydrological Modeling and Water Resource Management,"DMS Zekrifa, M Kulkarni, A Bhagyalakshmi…",2023,… Applications in Water …,igi-global.com,57,28.5
460,Machine learning in clinical trials: A primer with applications to neurology,"MI Miller, LC Shih, VB Kolachalama",2023,Neurotherapeutics,Elsevier,20,10.0
461,Exploiting symmetry in variational quantum machine learning,"JJ Meyer, M Mularski, E Gil-Fuster, AA Mele, F Arzani…",2023,PRX Quantum,APS,149,74.5
462,Brain tumor detection and classification using machine learning: a comprehensive survey,"J Amin, M Sharif, A Haldorai, M Yasmin…",2022,Complex & intelligent …,Springer,253,84.33
463,A structured analysis to study the role of machine learning and deep learning in the healthcare sector with big data analytics,"J Kumari, E Kumar, D Kumar",2023,Archives of Computational Methods in …,Springer,26,13.0
464,Using machine learning to predict antimicrobial resistance―a literature review,"A Sakagianni, C Koufopoulou, G Feretzakis, D Kalles…",2023,Antibiotics,mdpi.com,42,21.0
465,Machine learning in the detection and management of atrial fibrillation,"FK Wegner, L Plagwitz, F Doldi, C Ellermann…",2022,Clinical Research in …,Springer,39,13.0
466,Machine learning in scanning transmission electron microscopy,"SV Kalinin, C Ophus, PM Voyles, R Erni…",2022,Nature Reviews …,nature.com,96,32.0
467,Predicting is not understanding: Recognizing and addressing underspecification in machine learning,"D Teney, M Peyrard, E Abbasnejad",2022,European Conference on Computer …,Springer,24,8.0
468,… For Bias In Machine Learning And Opportunities For Health Insurers To Address It: Article examines the potential for bias in machine learning and opportunities for …,"SS Gervasi, IY Chen, A Smith-McLallen, D Sontag…",2022,Health …,healthaffairs.org,54,18.0
469,Medical machine learning based on multiobjective evolutionary algorithm using learning decomposition,"M Wang, X Li, L Chen, H Chen",2023,Expert Systems with Applications,Elsevier,25,12.5
470,Super-resolution analysis via machine learning: a survey for fluid flows,"K Fukami, K Fukagata, K Taira",2023,Theoretical and Computational Fluid …,Springer,71,35.5
471,Application of machine learning algorithms to predict the thyroid disease risk: an experimental comparative study,"SS Islam, MS Haque, MSU Miah, TB Sarwar…",2022,PeerJ Computer …,peerj.com,55,18.33
472,Machine learning methods for cancer classification using gene expression data: A review,"F Alharbi, A Vakanski",2023,Bioengineering,mdpi.com,74,37.0
473,Accurate global machine learning force fields for molecules with hundreds of atoms,"S Chmiela, V Vassilev-Galindo, OT Unke…",2023,Science …,science.org,95,47.5
474,Machine learning with multimodal data for COVID-19,"W Chen, RC Sá, Y Bai, S Napel, O Gevaert…",2023,Heliyon,cell.com,11,5.5
475,Quantum machine learning for image classification,"A Senokosov, A Sedykh, A Sagingalieva…",2024,Machine Learning …,iopscience.iop.org,42,42.0
476,"Application of machine learning, deep learning and optimization algorithms in geoengineering and geoscience: Comprehensive review and future challenge","W Zhang, X Gu, L Tang, Y Yin, D Liu, Y Zhang",2022,Gondwana Research,Elsevier,198,66.0
477,"AI and machine learning ethics, law, diversity, and global impact","K Drabiak, S Kyzer, V Nemov…",2023,The British journal of …,academic.oup.com,19,9.5
478,Machine learning techniques in emerging cloud computing integrated paradigms: A survey and taxonomy,"D Soni, N Kumar",2022,Journal of Network and Computer Applications,Elsevier,72,24.0
479,Shear strength prediction of reinforced concrete beams using machine learning,"MS Sandeep, K Tiprak, S Kaewunruen, P Pheinsusom…",2023,Structures,Elsevier,44,22.0
480,Detecting and analyzing suicidal ideation on social media using deep learning and machine learning models,"THH Aldhyani, SN Alsubari, AS Alshebami…",2022,International journal of …,mdpi.com,67,22.33
481,Persistent-homology-based machine learning: a survey and a comparative study,"CS Pun, SX Lee, K Xia",2022,Artificial Intelligence Review,Springer,71,23.67
482,A comparative study of classification and prediction of Cardio-Vascular Diseases (CVD) using Machine Learning and Deep Learning techniques,"M Swathy, K Saruladha",2022,ICT express,Elsevier,134,44.67
483,Groundwater level modeling with machine learning: a systematic review and meta-analysis,"A Ahmadi, M Olyaei, Z Heydari, M Emami…",2022,Water,mdpi.com,67,22.33
484,Leakage and the reproducibility crisis in machine-learning-based science,"S Kapoor, A Narayanan",2023,Patterns,cell.com,160,80.0
485,Renewable energy management in smart grids by using big data analytics and machine learning,"N Mostafa, HSM Ramadan, O Elfarouk",2022,Machine Learning with …,Elsevier,128,42.67
486,Machine Learning in Information Systems Research.,"B Padmanabhan, X Fang, N Sahoo…",2022,MIS …,search.ebscohost.com,61,20.33
487,A look inside the black box of machine learning photodynamics simulations,"J Li, SA Lopez",2022,Accounts of Chemical Research,ACS Publications,26,8.67
488,Applications of data mining and machine learning framework in aquaculture and fisheries: A review,"J Gladju, BS Kamalam, A Kanagaraj",2022,Smart Agricultural Technology,Elsevier,109,36.33
489,Introducing stacking machine learning approaches for the prediction of rock deformation,"M Koopialipoor, PG Asteris, AS Mohammed…",2022,Transportation …,Elsevier,90,30.0
490,Curriculum graph machine learning: A survey,"H Li, X Wang, W Zhu",2023,arXiv preprint arXiv:2302.02926,arxiv.org,16,8.0
491,Extracting spatial effects from machine learning model using local interpretation method: An example of SHAP and XGBoost,Z Li,2022,"Computers, Environment and Urban Systems",Elsevier,240,80.0
492,Machine learning accelerates the materials discovery,"J Fang, M Xie, X He, J Zhang, J Hu, Y Chen…",2022,Materials Today …,Elsevier,54,18.0
493,Prediction of agriculture yields using machine learning algorithms,"VK Gunjan, S Kumar, MD Ansari…",2022,"… in Machine Learning, IoT …",Springer,39,13.0
494,"3D printing of biodegradable polymers and their composites–Current state-of-the-art, properties, applications, and machine learning for potential future …","SAV Dananjaya, VS Chevali, JP Dear, P Potluri…",2024,Progress in Materials …,Elsevier,5,5.0
495,Zeno: An interactive framework for behavioral evaluation of machine learning,"ÁA Cabrera, E Fu, D Bertucci, K Holstein…",2023,Proceedings of the …,dl.acm.org,41,20.5
496,Malware threat affecting financial organization analysis using machine learning approach,"R Rawat, SK Sarangi, YN Rimal, P William…",2022,International Journal of …,igi-global.com,110,36.67
497,Twelve key challenges in medical machine learning and solutions,"RJ Ellis, RM Sander, A Limon",2022,Intelligence-Based Medicine,Elsevier,28,9.33
498,"Machine learning and AI in cancer prognosis, prediction, and treatment selection: a critical approach","B Zhang, H Shi, H Wang",2023,Journal of multidisciplinary healthcare,Taylor & Francis,79,39.5
499,Machine learning: an advanced platform for materials development and state prediction in lithium‐ion batteries,"C Lv, X Zhou, L Zhong, C Yan, M Srinivasan…",2022,Advanced …,Wiley Online Library,226,75.33
500,The rise of machine learning in polymer discovery,"C Yan, G Li",2023,Advanced Intelligent Systems,Wiley Online Library,29,14.5
501,"Factor models, machine learning, and asset pricing","S Giglio, B Kelly, D Xiu",2022,Annual Review of Financial Economics,annualreviews.org,109,36.33
502,Prediction of diabetes empowered with fused machine learning,"U Ahmed, GF Issa, MA Khan, S Aftab, MF Khan…",2022,IEEE …,ieeexplore.ieee.org,163,54.33
503,"Machine learning in precision agriculture: a survey on trends, applications and evaluations over two decades","S Condran, M Bewong, MZ Islam, L Maphosa…",2022,IEEE …,ieeexplore.ieee.org,58,19.33
504,Diabetes detection based on machine learning and deep learning approaches,"BF Wee, S Sivakumar, KH Lim, WK Wong…",2024,Multimedia Tools and …,Springer,27,27.0
505,Photonic machine learning with on-chip diffractive optics,"T Fu, Y Zang, Y Huang, Z Du, H Huang, C Hu…",2023,Nature …,nature.com,106,53.0
506,Novel machine learning based approach for analysing the adoption of metaverse in medical training: A UAE case study,"SA Salloum, A Bettayeb, A Salloum, A Aburayya…",2023,Informatics in Medicine …,Elsevier,63,31.5
507,Detection of network attacks using machine learning and deep learning models,"KA Dhanya, S Vajipayajula, K Srinivasan…",2023,Procedia Computer …,Elsevier,40,20.0
508,Protein–ligand docking in the machine-learning era,"C Yang, EA Chen, Y Zhang",2022,Molecules,mdpi.com,84,28.0
509,"Andrew ng, ai minimalist: The machine-learning pioneer says small is the new big",E Strickland,2022,IEEE spectrum,ieeexplore.ieee.org,101,33.67
510,"The carbon footprint of machine learning training will plateau, then shrink","D Patterson, J Gonzalez, U Hölzle, Q Le, C Liang…",2022,Computer,ieeexplore.ieee.org,289,96.33
511,Liver disease prediction using machine learning classification techniques,"K Gupta, N Jiwani, N Afreen…",2022,2022 IEEE 11th …,ieeexplore.ieee.org,82,27.33
512,Machine learning and smart devices for diabetes management: Systematic review,"MA Makroum, M Adda, A Bouzouane, H Ibrahim",2022,Sensors,mdpi.com,95,31.67
513,A new machine learning method for predicting systolic and diastolic blood pressure using clinical characteristics,"A Shrivastava, M Chakkaravarthy, MA Shah",2023,Healthcare Analytics,Elsevier,75,37.5
514,Enhancing the early detection of chronic kidney disease: a robust machine learning model,"MS Arif, A Mukheimer, D Asif",2023,Big Data and Cognitive Computing,mdpi.com,30,15.0
515,Deploying machine learning techniques for human emotion detection,"AI Siam, NF Soliman, AD Algarni…",2022,Computational …,Wiley Online Library,77,25.67
516,Monitoring Cardiovascular Problems in Heart Patients Using Machine Learning,"A Al Ahdal, M Rakhra, RR Rajendran…",2023,Journal of healthcare …,Wiley Online Library,34,17.0
517,Recent advances in thermal imaging and its applications using machine learning: A review,"AN Wilson, KA Gupta, BH Koduru, A Kumar…",2023,IEEE Sensors …,ieeexplore.ieee.org,48,24.0
518,Modern applications of machine learning in quantum sciences,"A Dawid, J Arnold, B Requena, A Gresch…",2022,arXiv preprint arXiv …,arxiv.org,66,22.0
519,Bug characterization in machine learning-based systems,"MM Morovati, A Nikanjam, F Tambon, F Khomh…",2024,Empirical Software …,Springer,28,28.0
520,Machine-learning-based methods for acoustic emission testing: a review,"G Ciaburro, G Iannace",2022,Applied Sciences,mdpi.com,55,18.33
521,Early prediction of hypothyroidism and multiclass classification using predictive machine learning and deep learning,"K Guleria, S Sharma, S Kumar, S Tiwari",2022,Measurement: Sensors,Elsevier,130,43.33
522,Cloud-based in-situ battery life prediction and classification using machine learning,"Y Zhang, M Zhao",2023,Energy Storage Materials,Elsevier,64,32.0
523,Machine learning and deep learning in phononic crystals and metamaterials–A review,"J Kennedy, CW Lim",2022,Materials Today Communications,Elsevier,61,20.33
524,Machine Learning in Nonlinear Material Physics,"SM Abdulrahman, RR Asaad…",2024,Journal of Soft …,penerbit.uthm.edu.my,5,5.0
525,Robust machine learning algorithms for predicting coastal water quality index,"MG Uddin, S Nash, MTM Diganta, A Rahman…",2022,Journal of …,Elsevier,123,41.0
526,Breast cancer detection based on thermographic images using machine learning and deep learning algorithms,VR Allugunti,2022,International Journal of Engineering in Computer …,researchgate.net,206,68.67
527,Machine learning and acute stroke imaging,"SA Sheth, L Giancardo, M Colasurdo…",2023,Journal of …,jnis.bmj.com,37,18.5
528,Machine learning for diagnosis of myocardial infarction using cardiac troponin concentrations,"D Doudesis, KK Lee, J Boeddinghaus, A Bularga…",2023,Nature Medicine,nature.com,57,28.5
529,Efficient wind power prediction using machine learning methods: A comparative study,"A Alkesaiberi, F Harrou, Y Sun",2022,Energies,mdpi.com,91,30.33
530,Machine learning for the study of plankton and marine snow from images,"JO Irisson, SD Ayata, DJ Lindsay…",2022,Annual Review of …,annualreviews.org,84,28.0
531,Phishing website detection with semantic features based on machine learning classifiers: a comparative study,"A Almomani, M Alauthman, MT Shatnawi…",2022,… Journal on Semantic …,igi-global.com,156,52.0
532,Machine learning and the city: applications in architecture and urban design,S Carta,2022,,books.google.com,20,6.67
533,How to dp-fy ml: A practical guide to machine learning with differential privacy,"N Ponomareva, H Hazimeh, A Kurakin, Z Xu…",2023,Journal of Artificial …,jair.org,109,54.5
534,Crime analysis using computer vision approach with machine learning,"P William, A Shrivastava…",2023,… Communications and 5G …,Springer,59,29.5
535,Machine learning and structural health monitoring overview with emerging technology and high-dimensional data source highlights,"A Malekloo, E Ozer, M AlHamaydeh…",2022,Structural Health …,journals.sagepub.com,312,104.0
536,Predictions of steel price indices through machine learning for the regional northeast Chinese market,"B Jin, X Xu",2024,Neural Computing and Applications,Springer,5,5.0
537,Exploring the power of eXtreme gradient boosting algorithm in machine learning: A review,"ZA Ali, ZH Abduljabbar, HA Taher, AB Sallow…",2023,Academic Journal of …,,62,31.0
538,Modeling the machine learning multiverse,"SJ Bell, O Kampman, J Dodge…",2022,Advances in Neural …,proceedings.neurips.cc,20,6.67
539,Machine learning-aided operations and communications of unmanned aerial vehicles: A contemporary survey,"H Kurunathan, H Huang, K Li, W Ni…",2023,… Surveys & Tutorials,ieeexplore.ieee.org,62,31.0
540,Machine learning on a robotic platform for the design of polymer–protein hybrids,"MJ Tamasi, RA Patel, CH Borca, S Kosuri…",2022,Advanced …,Wiley Online Library,92,30.67
541,Machine learning and deep learning modeling and simulation for predicting PM2. 5 concentrations,"J Peng, H Han, Y Yi, H Huang, L Xie",2022,Chemosphere,Elsevier,44,14.67
542,Modeling the mechanical properties of recycled aggregate concrete using hybrid machine learning algorithms,"Y Peng, C Unluer",2023,"Resources, Conservation and Recycling",Elsevier,75,37.5
543,Use of multi-modal data and machine learning to improve cardiovascular disease care,"S Amal, L Safarnejad, JA Omiye, I Ghanzouri…",2022,Frontiers in …,frontiersin.org,76,25.33
544,A Comparative Study of Machine Learning classifiers to analyze the Precision of Myocardial Infarction prediction,"RH Khan, J Miah, SAA Nipun…",2023,2023 IEEE 13th Annual …,ieeexplore.ieee.org,30,15.0
545,DiversityScanner: Robotic handling of small invertebrates with machine learning methods,"L Wührl, C Pylatiuk, M Giersch, F Lapp…",2022,Molecular ecology …,Wiley Online Library,70,23.33
546,Performance of Machine Learning and Image Processing in Plant Leaf Disease Detection,"AS Zamani, L Anand, KP Rane, P Prabhu…",2022,Journal of Food …,Wiley Online Library,125,41.67
547,"A state-of-the-art review on machine learning-based multiscale modeling, simulation, homogenization and design of materials","D Bishara, Y Xie, WK Liu, S Li",2023,Archives of computational methods in …,Springer,77,38.5
548,… of immune microenvironment subtypes and signature genes for Alzheimer's disease diagnosis and risk prediction based on explainable machine learning,"Y Lai, P Lin, F Lin, M Chen, C Lin, X Lin, L Wu…",2022,Frontiers in …,frontiersin.org,30,10.0
549,An interpretable machine learning approach for hepatitis b diagnosis,"G Obaido, B Ogbuokiri, TG Swart, N Ayawei…",2022,Applied sciences,mdpi.com,50,16.67
550,Artificial intelligence and machine learning for quantum technologies,"M Krenn, J Landgraf, T Foesel, F Marquardt",2023,Physical Review A,APS,87,43.5
551,A review on recent developments in cancer detection using Machine Learning and Deep Learning models,"S Maurya, S Tiwari, MC Mothukuri, CM Tangeda…",2023,… Signal Processing and …,Elsevier,50,25.0
552,Computational technique based on machine learning and image processing for medical image analysis of breast cancer diagnosis,"VDP Jasti, AS Zamani, K Arumugam…",2022,Security and …,Wiley Online Library,146,48.67
553,Detection of sql injection attack using machine learning techniques: a systematic literature review,"M Alghawazi, D Alghazzawi, S Alarifi",2022,Journal of Cybersecurity and …,mdpi.com,84,28.0
554,Crop yield prediction using machine learning and deep learning techniques,"K Jhajharia, P Mathur, S Jain, S Nijhawan",2023,Procedia Computer Science,Elsevier,66,33.0
555,Graph filters for signal processing and machine learning on graphs,"E Isufi, F Gama, DI Shuman…",2024,IEEE Transactions on …,ieeexplore.ieee.org,54,54.0
556,How machine learning is used to study addiction in digital healthcare: A systematic review,"B Chhetri, LM Goyal, M Mittal",2023,International Journal of Information …,Elsevier,26,13.0
557,Prospects and challenges of using machine learning for academic forecasting,"EM Onyema, KK Almuzaini, FU Onu…",2022,Computational …,Wiley Online Library,30,10.0
558,Prediction of peptide mass spectral libraries with machine learning,J Cox,2023,Nature Biotechnology,nature.com,57,28.5
559,Rainfall prediction system using machine learning fusion for smart cities,"A Rahman, S Abbas, M Gollapalli, R Ahmed, S Aftab…",2022,Sensors,mdpi.com,108,36.0
560,A machine learning-based intrusion detection for detecting internet of things network attacks,"YK Saheed, AI Abiodun, S Misra, MK Holone…",2022,Alexandria Engineering …,Elsevier,199,66.33
